EYFP	mKate
20.400002	7.29
2457.350098	2877.929932
0.85	17.01
12616.55078	19410.0293
14.450001	1.62
10352.15039	31246.56055
1218.050049	1271.699951
14.450001	5.67
2757.400146	3876.659912
27.200001	4.86
5468.050293	5157.27002
555.900024	384.75
1379.550049	1342.97998
136	30.780001
963.900024	727.380005
746.300049	798.659973
22.950001	8.91
989.400024	1574.640015
17.85	16.200001
7.65	17.82
0.85	28.35
14686.30078	14178.24023
346.800018	342.630005
18.700001	23.49
164.900009	87.480003
880.600037	1242.540039
33.150002	17.82
2098.650146	1699.380005
56.100002	42.93
2.55	52.650002
9484.299805	5448.060059
35.700001	44.549999
55.25	36.450001
65.450005	54.27
32.299999	36.450001
41.650002	55.889999
1098.200073	460.079987
1082.050049	568.619995
11403.60059	23111.73047
104.550003	21.870001
4.25	21.870001
6083.450195	4780.620117
64.599998	29.16
1897.200073	3762.449951
11.900001	1.62
14362.4502	15100.83008
4493.100098	4808.970215
4682.649902	3766.5
1008.100037	1547.910034
2.55	2.43
11.900001	45.360001
31869.90039	63478.08203
5839.5	11744.19043
0.85	27.540001
5.1	0.81
14325.05078	13425.75
8.5	13.77
808.350037	929.880005
5359.25	8395.650391
33.150002	16.200001
38.25	29.16
31.450001	8.91
509.150024	434.970001
37.400002	23.49
4.25	27.540001
486.200012	406.619995
322.149994	49.41
33.150002	6.48
340	294.839996
1362.550049	753.299988
3644.800049	7191.990234
211.650009	181.440002
4.25	5.67
39.950001	14.58
40.800003	15.39
19.550001	8.91
999.600037	1719.630005
9.35	11.34
9.35	13.77
324.700012	540.27002
4306.100098	7540.290039
708.050049	964.710022
644.299988	116.639999
8.5	17.82
11.05	34.02
4563.649902	2958.929932
1912.5	4144.77002
67.150002	6.48
109.650002	45.360001
290.700012	142.559998
3490.950195	3005.909912
376.550018	196.830002
455.600006	51.029999
11.05	17.01
425	54.27
13.6	21.870001
3104.200195	4972.589844
1232.5	989.01001
1071.849976	4322.160156
45.900002	28.35
35.700001	40.5
21.25	8.1
23.800001	12.15
26.35	13.77
34.850002	17.82
5590.450195	6040.169922
1337.050049	1232.819946
19.550001	0.81
5.95	5.67
411.400024	755.72998
18.700001	11.34
1405.050049	528.929993
70.550003	53.459999
4.25	47.790001
15.3	20.25
9.35	19.440001
11.05	16.200001
13.6	6.48
35.700001	29.969999
2461.600098	2434.050049
12374.30078	21661.01953
327.25	47.790001
90.100006	48.599998
16.15	6.48
2284.800049	2499.659912
11.900001	26.73
8721	22377.06055
9767.350586	11780.63965
330.650024	183.869995
29570.65039	56994.03125
5195.200195	5902.470215
1570.800049	2085.75
29.75	12.96
968.150024	1358.369995
42.5	36.450001
1560.600098	1839.51001
31.450001	23.49
1364.25	1373.76001
2.55	1.62
126.650002	78.57
1136.450073	3463.560059
362.950012	221.130005
152.150009	109.349998
31.450001	0.81
27.200001	38.07
25.5	7.29
11.900001	5.67
5.1	34.830002
18.700001	6.48
309.399994	102.870003
1853	2323.080078
1196.800049	707.130005
45.050003	20.25
2046.800049	2742.659912
2655.400146	7065.629883
51.850002	34.830002
795.600037	393.660004
1201.050049	694.169983
361.25	383.940002
119.850006	46.170002
1.7	7.29
171.700012	38.880001
1598.850098	1484.72998
89.25	38.07
28.050001	19.440001
73.950005	34.830002
8123.450195	13885.83008
70.550003	19.440001
561	200.880005
29295.25	40372.01953
12.75	9.72
105.400002	102.870003
216.75	113.400002
506.600006	750.059998
572.049988	721.710022
121.550003	106.919998
3201.100098	3771.360107
5.95	8.91
152.150009	51.84
1856.400024	2511
1193.400024	549.98999
16.15	15.39
29.75	25.110001
26.35	15.39
25.5	17.01
7.65	7.29
4045.150146	4813.02002
96.900002	10.53
28.050001	21.059999
2058.699951	676.349976
3315	4276.799805
36.549999	34.830002
3.4	20.25
22.950001	22.68
28.050001	17.01
149.600006	75.330002
14.450001	17.01
5.95	8.1
53.550003	21.059999
9.35	34.02
167.450012	63.18
783.700012	363.690002
660.450012	652.049988
0.85	16.200001
42.5	5.67
8.5	13.77
3042.150146	4581.359863
5.95	6.48
18184.90039	44899.10938
193.800003	37.259998
289.850006	185.490005
10.200001	6.48
1472.200073	4591.080078
102	55.080002
7616.850098	12901.67969
97.75	68.849998
1671.100098	3278.070068
706.350037	609.929993
1694.050049	1866.23999
9.35	1.62
6985.300293	16894.16992
31.450001	2.43
8272.200195	7463.339844
