EYFP	mKate
1480.700073	179.820007
168873.75	73439.46094
34743.75	16555.58984
1245.25	115.019997
36.549999	13.77
2146.25	34.02
18.700001	22.68
42.5	10.53
6.8	25.110001
45.050003	25.92
57.800003	42.93
22.950001	7.29
71541.10156	17814.33008
24218.20117	5703.209961
51	21.870001
1179.800049	48.599998
125.800003	11.34
48382.85156	22425.66016
15725.85059	2603.340088
63.75	20.25
56.100002	16.200001
19.550001	7.29
7580.300293	1630.530029
58825.10156	16779.15039
47616.15234	14052.69043
89091.05469	39388.67969
56071.95313	6595.830078
8.5	23.49
6.8	14.58
78308.80469	33889.58984
5.1	0.81
108499.1016	60783.21094
22.1	1.62
51.850002	23.49
59.5	21.059999
144.5	70.470001
57.800003	12.15
51	23.49
94.350006	21.059999
39.100002	9.72
80921.70313	16359.57031
624.75	10.53
521.049988	4.05
8290.900391	1031.130005
5.1	11.34
32.299999	27.540001
286.450012	12.15
39850.55078	12228.57031
28132.45117	9984.05957
67843.60156	40671.71875
26004.05078	4710.959961
11508.15039	266.48999
1039.550049	88.290001
67127.89844	24238.43945
5535.200195	2004.75
18022.55078	4729.589844
33.150002	18.629999
1541.050049	111.779999
231.200012	26.73
54077.85156	11291.40039
45.050003	5.67
8821.299805	1948.050049
654.5	13.77
44.200001	9.72
14.450001	30.780001
57991.25	18244.43945
48209.45313	16427.60938
110.5	19.440001
190.400009	25.92
2182.800049	418.769989
582.25	13.77
37.400002	16.200001
1686.400024	404.190002
39.950001	28.35
51	36.450001
90.950005	32.400002
51072.25	11438.82031
45.900002	23.49
204	17.01
14.450001	21.059999
16.15	7.29
47101.05078	14435.82031
263.5	3.24
1807.100098	537.840027
888.25	65.610001
24326.15039	7011.359863
16124.5	3806.189941
79.050003	62.369999
119634.9531	26165.42969
350.200012	27.540001
13.6	11.34
38500.75	11435.58008
17705.5	4422.600098
45044.05078	12367.88965
54909.15234	21527.36914
11.05	0.81
2989.450195	372.600006
62.900002	7.29
79.050003	52.650002
78.200005	24.299999
80.75	15.39
2449.699951	226.800003
92.650002	26.73
47403.65234	12687.83984
44772.90234	21127.23047
79077.20313	24527.60938
42.5	28.35
187	45.360001
384.200012	30.780001
46168.60156	5960.790039
54218.95313	29872.80078
19.550001	15.39
4472.700195	615.599976
34	15.39
89.25	27.540001
30.6	13.77
51	15.39
56.100002	27.540001
39437.44922	4226.580078
77.349998	17.01
1160.25	258.390015
48004.60156	14432.58008
5751.950195	228.419998
40.800003	38.07
34	35.639999
64713.05078	17952.83984
33184.85156	8639.459961
33.150002	25.110001
64.599998	15.39
60125.60156	15618.41992
7597.300293	1835.459961
8252.650391	1733.400024
284.75	4.86
13.6	18.629999
22.1	25.92
90.950005	18.629999
3667.75	767.880005
0.85	17.82
13.6	3.24
22763	4452.569824
9.35	0.81
31882.65039	8208.540039
86113.5	34398.26953
4996.300293	1074.060059
40085.15234	18073.5293
107.950005	23.49
807.5	60.75
360.400024	53.459999
493	68.849998
503.200012	7.29
16.15	16.200001
17097.75	2241.27002
181.050003	41.310001
14.450001	8.91
93.5	26.73
143739.25	52615.17188
16.15	3.24
241.400009	32.400002
71450.14844	21137.75977
127658.9531	45202.05078
823.650024	89.910004
573.75	51.84
181.050003	34.830002
104748.9063	28353.24023
1110.950073	73.709999
402.900024	41.310001
1.7	17.82
2216.800049	256.769989
841.5	53.459999
8.5	29.969999
1.7	16.200001
93282.40625	19507.23047
76.5	4.86
100.300003	3.24
25494.05078	7008.120117
6040.100098	531.359985
65029.25	18265.5
141899.8594	37478.69922
84337	31441.76953
48905.60156	13863.95996
287.300018	14.58
2086.75	43.740002
48348	9941.94043
11587.2002	3355.830078
7.65	2.43
30536.25	9022.589844
43319.40234	17004.33008
663	74.519997
368.050018	36.450001
1772.25	116.639999
56350.75	13626.62988
5508	164.430008
6569.650391	886.950012
2274.600098	319.140015
19.550001	13.77
11770.80078	4489.830078
638.350037	11.34
123610.4063	61543.80078
5888.800293	758.970032
3354.950195	501.390015
19.550001	12.15
88.400002	14.58
62.900002	39.689999
33.150002	16.200001
61.200001	22.68
64.599998	26.73
15836.35059	2677.050049
51372.30078	23558.84961
99.450005	29.969999
6577.300293	1064.339966
26983.25	5900.040039
69.700005	32.400002
140686.0469	30723.30078
4778.700195	797.849976
600.100037	35.639999
3632.900146	1025.459961
48120.20313	28787.40039
16019.9502	3892.050049
14.450001	17.01
9961.150391	2414.610107
66465.75	29658.15039
132382.4063	48087.26953
3.4	12.96
11220.85059	3870.179932
708.900024	74.519997
734.400024	28.35
34	37.259998
20270.80078	5502.330078
132.600006	11.34
24.650002	1.62
26.35	10.53
20.400002	16.200001
345.950012	27.540001
345.100006	1.62
34	19.440001
22.950001	18.629999
10806.90039	2735.370117
4.25	24.299999
20.400002	17.01
470.050018	17.01
29.75	14.58
63.75	21.870001
57754.95313	15206.94043
80.75	17.01
124.100006	41.310001
32.299999	38.880001
7179.100098	895.049988
12205.15039	1922.130005
4286.550293	579.960022
16.15	34.830002
32.299999	37.259998
5.1	14.58
32697.80078	7044.569824
41.650002	42.93
19.550001	18.629999
32657.85156	6904.439941
19.550001	21.870001
38.25	16.200001
3.4	34.02
131.75	12.15
78.200005	12.15
8.5	0.81
2691.100098	732.23999
202.300003	29.969999
23.800001	5.67
24081.35156	5787.450195
3.4	29.969999
8.5	51.029999
8324.900391	639.090027
83909.45313	45737.46094
24.650002	25.110001
34	22.68
16.15	21.870001
140065.5469	68509.79688
10499.2002	2165.130127
5.1	1.62
64224.30078	25970.2207
4951.25	231.660004
10309.65039	2961.360107
9066.950195	3767.310059
35.700001	16.200001
140904.5	40284.53906
66747.95313	24100.74023
11395.9502	2361.959961
1280.099976	81.809998
2879.800049	221.940002
127.5	63.990002
381.650024	89.099998
54.400002	3.24
60.350002	23.49
14.450001	21.870001
34	22.68
21.25	2.43
148931.0469	10393.11035
45210.65234	9054.990234
28647.55078	4439.609863
8121.75	1396.440063
2096.100098	326.429993
1.7	4.86
266.899994	26.73
224.400009	7.29
29.75	35.639999
70701.30469	36865.53125
20574.25	4182.839844
347.650024	9.72
68	31.59
1926.100098	85.050003
4612.950195	940.409973
160.650009	8.1
36.549999	21.059999
45945.05078	8192.339844
3636.300049	353.160004
5363.5	1570.589966
12721.9502	4609.709961
36.549999	4.86
3580.200195	549.98999
36.549999	20.25
67229.05469	20936.07031
56.100002	36.450001
13398.55078	3176.01001
56.950001	25.92
7.65	3.24
482.800018	26.73
80544.30469	24811.10938
271.149994	4.05
23919	8146.97998
11302.4502	2317.409912
29356.45117	10261.88965
669.800049	61.560001
0.85	25.92
40.800003	40.5
17	21.059999
7372.900391	1518.75
21.25	5.67
419.050018	41.310001
6821.25	1085.400024
49.300003	37.259998
784.550049	21.870001
554.200012	22.68
41.650002	27.540001
1807.950073	83.43
36.549999	15.39
33434.75	21874.85938
224.400009	1.62
22.1	13.77
6.8	1.62
629.850037	33.209999
29052.15039	6931.97998
3526.650146	439.019989
30259.15039	7737.930176
24.650002	25.92
10.200001	6.48
13.6	8.91
9551.450195	1464.47998
14.450001	15.39
12.75	0.81
69714.45313	25121.33984
1685.550049	358.019989
272	8.1
87985.20313	27618.57031
6881.600098	2292.300049
15.3	32.400002
23620.65039	6944.939941
44873.20313	9957.330078
7.65	25.110001
768.400024	40.5
25352.95117	7763.850098
39765.55078	6565.859863
4305.25	608.309998
154942.25	78962.85156
27739.75	10351.79981
2325.600098	20.25
3206.200195	721.710022
34865.30078	18058.14063
30.6	17.82
773.5	81
20468.84961	4011.929932
60439.25	18185.31055
2289.900146	364.5
31390.5	8854.110352
10504.30078	3333.149902
106.25	12.15
1584.400024	207.360001
8325.75	2821.22998
2240.600098	126.360001
446.25	37.259998
7973	1121.849976
77011.70313	32083.29102
7241.150391	1720.440063
163162.6094	62231.48828
118439	30608.2793
39070.25	11315.7002
14435.55078	5081.129883
49229.45313	10614.24023
14988.05078	5554.97998
6.8	1.62
794.75	29.969999
173.400009	21.870001
12.75	8.91
4288.25	750.059998
11.900001	25.110001
5.95	4.86
10.200001	3.24
22.1	21.059999
62.900002	10.53
43.350002	25.110001
53.550003	16.200001
751.400024	82.620003
19.550001	12.96
58.650002	3.24
13.6	2.43
2429.300049	415.529999
39035.40234	18506.88086
22.1	8.1
37.400002	0.81
54530.05078	18588.68945
96.050003	145.800003
3784.200195	841.590027
22.1	2.43
33.150002	18.629999
22.950001	6.48
30.6	6.48
7.65	6.48
17.85	12.96
17	16.200001
26606.70117	4374
22.950001	12.96
37592.94922	7430.129883
586.5	94.769997
24552.25	6401.430176
812.600037	182.25
10.200001	21.870001
29.75	24.299999
15.3	7.29
537.200012	33.209999
3.4	14.58
27.200001	4.86
6379.25	1177.73999
45.050003	0.81
8.5	4.05
16811.30078	7043.760254
1575.050049	86.669998
26.35	3.24
40.800003	14.58
38.25	36.450001
1432.25	70.470001
162.350006	4.05
23.800001	3.24
340	39.689999
60.350002	0.81
45.050003	5.67
84297.05469	14503.04981
1640.5	198.449997
11016.85059	1300.050049
699.550049	38.07
41101.75	18510.92969
32.299999	8.1
22.1	13.77
211.650009	21.059999
30.6	25.92
15820.2002	4761.990234
11719.80078	1875.150024
9737.600586	1784.430054
12111.65039	3213.27002
211.650009	16.200001
41543.75	21926.69922
49960.45313	12450.50977
69061.64844	28798.74023
6245.800293	995.48999
115595.75	43740.80859
28.050001	8.1
18474.75	4566.779785
1950.75	51.029999
5.95	34.830002
33301.30078	4744.169922
34.850002	21.870001
15778.55078	2706.209961
3077	696.599976
13474.2002	3229.469971
27.200001	20.25
612.850037	20.25
50162.75	13843.70996
15197.15039	7469.010254
551.650024	70.470001
44.200001	29.969999
1836.850098	370.170013
138121.6094	60289.10938
822.800049	127.169998
21.25	11.34
9.35	18.629999
39.100002	11.34
30373.05078	8544.69043
45.050003	20.25
41.650002	31.59
26100.10156	4344.029785
5090.649902	1207.709961
68	7.29
10.200001	29.16
24.650002	8.1
17.85	21.870001
20.400002	23.49
22.950001	19.440001
11351.75	2060.639893
20819.90039	4007.880127
16553.75	5186.430176
46.75	43.740002
41235.19922	7028.370117
22123.80078	4994.459961
230.350006	16.200001
926.5	9.72
81353.5	33458.67188
8.5	15.39
48.450001	8.91
421.600006	21.059999
4.25	1.62
76148.10156	27096.11914
12743.2002	2804.219971
18269.05078	6778.080078
19.550001	9.72
46058.10156	9756.450195
1413.550049	134.460007
177.650009	19.440001
23.800001	42.119999
17195.5	2839.860107
187	0.81
38541.55078	13194.08984
229.5	0.81
6008.650391	792.98999
56857.35156	12399.48047
15263.4502	6284.790039
13.6	14.58
12.75	13.77
28.900002	17.01
6962.350098	153.899994
24.650002	13.77
42761.80078	13092.83984
49848.25	18784.71094
7176.550293	1482.300049
6216.900391	672.299988
5006.5	1196.369995
33992.35156	9967.049805
9.35	12.96
284.75	8.1
30.6	31.59
19.550001	35.639999
578.850037	86.669998
11973.9502	1684.800049
891.650024	134.460007
46336.90234	16485.92969
17	17.01
3637.150146	1377.810059
455.600006	4.05
1311.550049	129.600006
312.800018	36.450001
587.350037	6.48
36.549999	22.68
28.900002	4.05
37.400002	14.58
21.25	4.05
1614.150024	93.959999
60.350002	21.059999
25082.65039	6300.180176
25.5	16.200001
877.200012	49.41
24.650002	15.39
323.850006	8.91
37904.90234	11648.61035
211.650009	4.86
1033.599976	70.470001
14.450001	1.62
414.800018	3.24
189246.5625	95633.46094
755.650024	613.97998
25982.80078	6923.069824
8380.150391	2454.300049
41620.25	8513.910156
1389.75	92.340004
3876	827.820007
369.75	10.53
16.15	11.34
42.5	24.299999
78.200005	5.67
231.200012	12.15
35549.55078	9160.290039
81335.64844	33594.75
88846.25	35572.76953
3400	268.920013
20191.75	7878.060059
15775.15039	5399.459961
30033.90039	11344.86035
256.700012	13.77
34	13.77
3951.650146	407.429993
28768.25	5013.089844
19472.65039	4687.470215
79.900002	44.549999
2327.300049	525.690002
305.149994	13.77
78969.25	23050.16992
53.550003	2.43
62.900002	25.92
109545.4531	48325.41016
39439.15234	12549.33008
92419.65625	25362.7207
12.75	7.29
181.900009	8.1
26.35	12.96
33427.94922	10202.75977
13.6	20.25
41194.40234	8969.129883
16.15	23.49
24.650002	19.440001
3086.350098	704.700012
55.25	29.969999
863.600037	106.110001
1798.600098	180.630005
1386.350098	175.770004
31487.40039	10044
2586.550049	622.080017
4.25	20.25
24942.40039	5446.439941
33306.40234	14050.25977
1921	49.41
1255.450073	89.099998
2220.199951	191.160004
218.450012	18.629999
141422.1563	32884.37891
0.85	12.96
16.15	0.81
36931.65234	13349.61035
20.400002	32.400002
0.85	5.67
34.850002	22.68
12449.10059	7700.669922
97.75	28.35
38357.94922	9288.270508
487.900024	74.519997
16844.45117	3894.47998
0.85	3.24
433.5	8.1
8.5	7.29
51957.10156	18233.09961
83263.45313	38569.76953
36009.40234	16050.95996
281.350006	13.77
88.400002	1.62
12.75	14.58
3135.650146	792.98999
1167.900024	92.340004
1586.100098	173.339996
12.75	12.15
63.75	18.629999
7326.150391	1502.550049
51.850002	49.41
113.900002	15.39
136.850006	38.07
4347.75	1099.97998
38655.44922	12921.12012
52853	4344.839844
22457.85156	5162.939941
18.700001	17.01
9.35	11.34
1382.100098	88.290001
30961.25	11847.87012
16019.10059	4640.490234
102046.75	56190.51172
26079.70117	5687.010254
205988.1563	48923.19141
2561.050049	207.360001
244.800003	10.53
447.950012	51.84
58.650002	22.68
27.200001	23.49
113.050003	54.27
215.050003	8.1
21.25	23.49
59960.70313	5836.049805
14.450001	28.35
10486.4502	2242.889893
4771.899902	524.070007
2017.050049	293.220001
279.649994	11.34
872.950012	64.800003
33.150002	8.91
192.950012	4.05
4797.399902	720.900024
33.150002	18.629999
20.400002	37.259998
1204.450073	136.080002
1.7	1.62
25.5	13.77
47.600002	60.75
52.700001	34.02
152.150009	47.790001
150.449997	20.25
1353.200073	54.27
82168.64844	31171.23047
42.5	16.200001
1405.900024	160.380005
35566.55078	18178.83008
14.450001	10.53
33818.10156	6860.700195
9520.850586	1051.380005
67798.55469	12722.66992
504.900024	26.73
271.149994	51.84
50.150002	24.299999
403.75	4.05
6478.700195	990.630005
80383.64844	28414.80078
45359.40234	10267.55957
29895.35156	8760.150391
1.7	0.81
2145.400146	45.360001
15015.25	1929.420044
41.650002	29.16
5.95	39.689999
2.55	0.81
313.649994	46.98
77.349998	28.35
68	21.870001
17.85	17.01
18246.09961	6036.930176
77175.75	29051.46094
11.900001	23.49
22.950001	24.299999
60824.30078	24387.48047
14.450001	8.1
13.6	4.86
5998.450195	529.73999
66531.20313	19683.81055
28.900002	15.39
34880.60156	7712.819824
41.650002	10.53
17.85	13.77
25.5	22.68
84317.45313	13396.58984
